date,hour,station,line,pax_TOTAL
2024-03-01,10,Loria,A,366
2024-03-01,10,Los Incas,B,362
2024-03-01,10,Malabia,B,838
2024-03-01,10,Mariano Moreno,C,128
2024-03-01,10,Medalla Milagrosa,E,105
2024-03-01,10,Medrano,B,731
2024-03-01,10,Ministro Carranza,D,1
2024-03-01,10,Once,H,684
2024-03-01,10,Pasco,A,160
2024-03-01,10,Pasteur,B,505
2024-03-01,10,Patricios,H,450
2024-03-01,10,Peru,A,3
2024-03-01,10,Pichincha,E,134
2024-03-01,10,Piedras,A,274
2024-03-01,10,Plaza Italia,D,1
2024-03-01,10,Plaza Miserere,A,866
2024-03-01,10,Plaza de Mayo,A,468
2024-03-01,10,Primera Junta,A,712
2024-03-01,10,Puan,A,302
2024-03-01,10,Pueyrredon,B,602
2024-03-01,10,Pueyrredon.D,D,2
2024-03-01,10,Pza. de los Virreyes,E,420
2024-03-01,10,Retiro,C,1281
2024-03-01,10,Retiro E,E,293
2024-03-01,10,Rio de Janeiro,A,487
2024-03-01,10,Rosas,B,1230
2024-03-01,10,Saenz Pena ,A,244
2024-03-01,10,San Jose,E,122
2024-03-01,10,San Juan,C,177
2024-03-01,10,San Pedrito,A,1246
2024-03-01,10,Santa Fe,H,535
2024-03-01,10,Tronador,B,230
2024-03-01,10,Urquiza,E,226
2024-03-01,10,Uruguay,B,460
2024-03-01,10,Varela,E,122
2024-03-01,10,Venezuela,H,305
2024-03-01,11,Acoyte,A,645
2024-03-01,11,Alberti,A,225
2024-03-01,11,Angel Gallardo,B,665
2024-03-01,11,Avenida La Plata,E,248
2024-03-01,11,Avenida de Mayo,C,185
2024-03-01,11,Boedo,E,240
2024-03-01,11,Bolivar,E,261
2024-03-01,11,Callao.B,B,719
2024-03-01,11,Carabobo,A,476
2024-03-01,11,Carlos Gardel,B,524
2024-03-01,11,Carlos Pellegrini,B,616
2024-03-01,11,Caseros,H,339
2024-03-01,11,Castro Barros,A,435
2024-03-01,11,Catalinas,E,61
2024-03-01,11,Congreso,A,465
2024-03-01,11,Constitucion,C,2769
2024-03-01,11,Cordoba,H,386
2024-03-01,11,Correo Central,E,155
2024-03-01,11,Corrientes,H,209
2024-03-01,11,Diagonal Norte,C,163
2024-03-01,11,Dorrego,B,445
2024-03-01,11,Echeverria,B,213
2024-03-01,11,Emilio Mitre,E,196
2024-03-01,11,Entre Rios,E,169
2024-03-01,11,Facultad de Derecho,H,137
2024-03-01,11,Federico Lacroze,B,1182
2024-03-01,11,Flores,A,516
2024-03-01,11,Florida,B,591
2024-03-01,11,General Belgrano,E,164
2024-03-01,11,General San Martin,C,153
2024-03-01,11,Hospitales,H,608
2024-03-01,11,Humberto I,H,322
2024-03-01,11,Inclan,H,230
2024-03-01,11,Independencia,C,210
2024-03-01,11,Independencia.H,E,206
2024-03-01,11,Jose Maria Moreno,E,194
